epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.383,0.97634,1.42737,1.15495,0.9691,0.99042,0.99289,0.68836,1.11236,1.15268,1.13833,0.000664,0.000664,0.000664
2,385.517,0.90026,0.89864,1.1139,0.96197,0.79474,0.81843,0.65575,0.76731,0.85513,0.97642,0.00128675,0.00128675,0.00128675
3,629.974,0.89671,0.74443,1.13092,0.99813,0.98947,0.9882,0.7303,0.9822,0.5956,1.06469,0.00186551,0.00186551,0.00186551
4,1076.07,0.85077,0.6537,1.09402,0.99331,0.92632,0.93571,0.76095,0.69497,0.45293,0.96195,0.001802,0.001802,0.001802
5,1358.85,0.8066,0.60338,1.08839,0.99657,0.98421,0.99404,0.73133,1.02006,0.53295,1.08079,0.001736,0.001736,0.001736
6,1560.29,0.7824,0.56054,1.07657,0.9932,0.99474,0.99495,0.69587,1.14108,0.47498,1.12357,0.00167,0.00167,0.00167
7,1830.31,0.73342,0.51746,1.05054,0.99744,0.98947,0.9949,0.6295,1.39094,0.54582,1.28304,0.001604,0.001604,0.001604
8,2188.74,0.74184,0.50393,1.05061,0.9933,0.98947,0.99464,0.66933,1.25397,0.50764,1.17619,0.001538,0.001538,0.001538
9,2583.22,0.73256,0.49742,1.0524,0.98378,0.98947,0.98971,0.78344,0.83348,0.39365,0.97428,0.001472,0.001472,0.001472
10,3000.23,0.70011,0.47003,1.03569,0.99366,0.98947,0.9949,0.68615,1.16097,0.46249,1.14036,0.001406,0.001406,0.001406
11,3587.09,0.67768,0.44779,1.03063,0.99085,0.98947,0.99459,0.77651,0.88286,0.4097,0.98829,0.00134,0.00134,0.00134
12,4984.99,0.64411,0.43951,1.00482,0.99473,0.99359,0.99495,0.77925,0.8348,0.38802,0.98865,0.001274,0.001274,0.001274
13,5248.64,0.64553,0.43485,1.01211,0.99441,0.98947,0.99484,0.78908,0.81254,0.35142,0.97208,0.001208,0.001208,0.001208
14,5788.33,0.6137,0.41778,1.00165,0.99473,0.99372,0.99495,0.80477,0.76913,0.34372,0.9551,0.001142,0.001142,0.001142
15,6279.13,0.60575,0.4128,0.99024,0.99316,0.99474,0.99484,0.76279,0.93009,0.38026,1.01624,0.001076,0.001076,0.001076
16,6914.28,0.58804,0.38582,0.98586,0.99794,0.98947,0.9949,0.84297,0.64924,0.31996,0.9332,0.00101,0.00101,0.00101
17,7703.46,0.58199,0.38348,0.98696,0.99474,0.99473,0.99495,0.88322,0.5337,0.28405,0.88335,0.000944,0.000944,0.000944
18,9292.67,0.57194,0.38323,0.98654,0.98867,0.99474,0.9949,0.85255,0.63702,0.30727,0.91326,0.000878,0.000878,0.000878
19,10747.8,0.56848,0.37788,0.97975,0.98918,0.99474,0.99458,0.86963,0.59962,0.27929,0.89644,0.000812,0.000812,0.000812
20,13608.3,0.53908,0.35629,0.9701,0.99765,0.98947,0.9949,0.88309,0.53565,0.28379,0.8804,0.000746,0.000746,0.000746
21,16979.5,0.41999,0.26837,0.8801,0.99916,0.98947,0.99459,0.83547,0.71383,0.33434,0.91879,0.00068,0.00068,0.00068
22,21494.3,0.41586,0.27115,0.87292,0.99473,0.99426,0.99495,0.83788,0.71174,0.31463,0.94447,0.000614,0.000614,0.000614
23,26198.5,0.4045,0.2592,0.87507,1,0.99418,0.995,0.81918,0.77048,0.33781,0.94176,0.000548,0.000548,0.000548
